ANIO_DENUNCIA,ANIO_HECHO,CAPTURA,CONDENA,DELITO,DEPARTAMENTO,ESTADO_NOTICIA,ETAPA,GRUPO_EDAD_VICTIMA,HECHO,HOMICIDIO_DOLOSO_CONSUMADO,IMPUTACION,MUNICIPIO,PAIS,PAIS_NACIMIENTO,SEXO_VICTIMA,TOTAL_VICTIMAS,TOTAL_POBLACION,TOTAL_FEMINICIDIOS,PORCENTAJE_TOTAL,PORCENTAJE_FEMINICIDIOS
2021,2021,NO,NO,FEMINICIDIO ART. 104A C.P.,Bogota,ACTIVO,INDAGACION,JUVENTUD 18 - 28,SI,NO,NO,Bogota,Colombia,Venezuela,FEMENINO,1,8380801,884,1,0.000105479177944924
2021,2021,NO,NO,FEMINICIDIO ART. 104A C.P.,Bogota,ACTIVO,INDAGACION,PRIMERA INFANCIA 0 - 5,SI,NO,NO,Bogota,Colombia,,FEMENINO,1,8380801,884,1,0.000105479177944924
2021,2021,NO,NO,FEMINICIDIO ART. 104A C.P.,Bogota,ACTIVO,INDAGACION,PRIMERA INFANCIA 0 - 5,SI,NO,NO,Bogota,Colombia,Colombia,FEMENINO,1,8380801,884,1,0.000105479177944924
2021,2021,NO,NO,FEMINICIDIO ART. 104A C.P.,Bogota,ACTIVO,INDAGACION,SIN DATO,SI,NO,NO,Bogota,Colombia,,MASCULINO,1,8380801,884,1,0.000105479177944924
2021,2021,NO,NO,FEMINICIDIO ART. 104A C.P.,Bogota,ACTIVO,INDAGACION,SIN DATO,SI,NO,NO,Bogota,Colombia,Colombia,FEMENINO,15,8380801,884,1,0.000105479177944924
2021,2021,NO,NO,FEMINICIDIO ART. 104A C.P.,Bogota,ACTIVO,INDAGACION,SIN DATO,SI,NO,NO,Bogota,Colombia,Colombia,MASCULINO,1,8380801,884,1,0.000105479177944924
2021,2021,NO,NO,FEMINICIDIO ART. 104A C.P.,Bogota,ACTIVO,JUICIO,ADULTEZ 29 - 59,SI,NO,SI,Bogota,Colombia,Colombia,FEMENINO,1,8380801,884,1,0.000105479177944924
2021,2021,NO,NO,FEMINICIDIO ART. 104A C.P.,Bogota,ACTIVO,JUICIO,ADULTEZ 29 - 59,SI,NO,SI,Bogota,Colombia,Colombia,MASCULINO,1,8380801,884,1,0.000105479177944924
2021,2021,NO,NO,FEMINICIDIO ART. 104A C.P.,Bogota,ACTIVO,JUICIO,JUVENTUD 18 - 28,SI,NO,SI,Bogota,Colombia,Colombia,FEMENINO,1,8380801,884,1,0.000105479177944924
2021,2021,NO,NO,FEMINICIDIO ART. 104A C.P.,Bogota,ACTIVO,JUICIO,SIN DATO,SI,NO,SI,Bogota,Colombia,Colombia,FEMENINO,1,8380801,884,1,0.000105479177944924
2021,2021,NO,NO,FEMINICIDIO ART. 104A C.P.,Bogota,INACTIVO,INDAGACION,ADULTEZ 29 - 59,NO,NO,NO,Bogota,Colombia,Colombia,FEMENINO,1,8380801,884,1,0.000105479177944924
2021,2021,NO,NO,FEMINICIDIO ART. 104A C.P.,Bogota,INACTIVO,INDAGACION,ADULTEZ 29 - 59,SI,NO,NO,Bogota,Colombia,Colombia,FEMENINO,3,8380801,884,1,0.000105479177944924
2021,2021,NO,NO,FEMINICIDIO ART. 104A C.P.,Bogota,INACTIVO,INDAGACION,ADULTEZ 29 - 59,SI,NO,NO,Bogota,Colombia,Colombia,MASCULINO,1,8380801,884,1,0.000105479177944924
2021,2021,NO,NO,FEMINICIDIO ART. 104A C.P.,Bogota,INACTIVO,INDAGACION,INFANCIA 6 - 11,SI,NO,NO,Bogota,Colombia,Colombia,MASCULINO,1,8380801,884,1,0.000105479177944924
2021,2021,NO,NO,FEMINICIDIO ART. 104A C.P.,Bogota,INACTIVO,INDAGACION,SIN DATO,SI,NO,NO,Bogota,Colombia,,,1,8380801,884,1,0.000105479177944924
2021,2021,NO,NO,FEMINICIDIO ART. 104A C.P.,Bogota,INACTIVO,INDAGACION,SIN DATO,SI,NO,NO,Bogota,Colombia,Colombia,FEMENINO,4,8380801,884,1,0.000105479177944924
2021,2021,NO,NO,FEMINICIDIO ART. 104A C.P.,Bogota,INACTIVO,JUICIO,ADULTEZ 29 - 59,SI,SI,NO,Bogota,Colombia,Colombia,FEMENINO,2,8380801,884,1,0.000105479177944924
2021,2021,NO,NO,FEMINICIDIO ART. 104A C.P.,Bogota,INACTIVO,JUICIO,SIN DATO,SI,NO,NO,Bogota,Colombia,Colombia,FEMENINO,1,8380801,884,1,0.000105479177944924
2021,2021,NO,NO,FEMINICIDIO ART. 104A C.P.,BolIvar,ACTIVO,INDAGACION,ADULTEZ 29 - 59,SI,NO,NO,ALTOS DEL ROSARIO,Colombia,Venezuela,FEMENINO,1,15034,2,1,0.000133031794598909
2021,2021,NO,NO,FEMINICIDIO ART. 104A C.P.,BolIvar,ACTIVO,INDAGACION,ADULTEZ 29 - 59,SI,NO,NO,CARTAGENA,Colombia,Colombia,FEMENINO,1,1057767,104,1,0.000098320329524366
2021,2021,NO,NO,FEMINICIDIO ART. 104A C.P.,BolIvar,ACTIVO,INDAGACION,JUVENTUD 18 - 28,SI,NO,NO,CARTAGENA,Colombia,Colombia,FEMENINO,1,1057767,104,1,0.000098320329524366
2021,2021,NO,NO,FEMINICIDIO ART. 104A C.P.,BolIvar,ACTIVO,INDAGACION,SIN DATO,SI,NO,NO,CARTAGENA,Colombia,Colombia,FEMENINO,1,1057767,104,1,0.000098320329524366
2021,2021,NO,NO,FEMINICIDIO ART. 104A C.P.,BolIvar,ACTIVO,INDAGACION,SIN DATO,SI,NO,NO,CARTAGENA,Colombia,Colombia,MASCULINO,1,1057767,104,1,0.000098320329524366
2021,2021,NO,NO,FEMINICIDIO ART. 104A C.P.,BolIvar,INACTIVO,INDAGACION,JUVENTUD 18 - 28,SI,SI,NO,CARTAGENA,Colombia,Colombia,FEMENINO,1,1057767,104,1,0.000098320329524366
2021,2021,NO,NO,FEMINICIDIO ART. 104A C.P.,BolIvar,INACTIVO,INDAGACION,SIN DATO,SI,NO,NO,CARTAGENA,Colombia,Colombia,MASCULINO,1,1057767,104,1,0.000098320329524366
2021,2021,NO,NO,FEMINICIDIO ART. 104A C.P.,Boyaca,ACTIVO,INDAGACION,ADULTEZ 29 - 59,SI,NO,NO,COPER,Colombia,Colombia,FEMENINO,1,3405,1,1,0.000293685756240822
2021,2021,NO,NO,FEMINICIDIO ART. 104A C.P.,Boyaca,ACTIVO,INDAGACION,SIN DATO,SI,NO,NO,GUATEQUE,Colombia,Colombia,FEMENINO,1,9294,1,1,0.000107596298687325
2021,2021,NO,NO,FEMINICIDIO ART. 104A C.P.,Boyaca,INACTIVO,INDAGACION,ADULTEZ 29 - 59,SI,SI,NO,BUSBANZA,Colombia,Colombia,FEMENINO,1,1324,1,1,0.000755287009063444
2021,2021,NO,NO,FEMINICIDIO ART. 104A C.P.,Boyaca,INACTIVO,INDAGACION,ADULTEZ 29 - 59,SI,SI,NO,TUNUNGUA,Colombia,Colombia,FEMENINO,1,1951,1,1,0.000512557662737058
2021,2021,NO,NO,FEMINICIDIO ART. 104A C.P.,Casanare,ACTIVO,INDAGACION,ADULTEZ 29 - 59,SI,SI,NO,YOPAL,Colombia,Venezuela,FEMENINO,1,155882,17,1,0.000109056850694756
2021,2021,NO,NO,FEMINICIDIO ART. 104A C.P.,Casanare,ACTIVO,INDAGACION,SIN DATO,SI,NO,NO,YOPAL,Colombia,Colombia,FEMENINO,1,155882,17,1,0.000109056850694756
2021,2021,NO,NO,FEMINICIDIO ART. 104A C.P.,Casanare,INACTIVO,INDAGACION,ADULTEZ 29 - 59,SI,SI,NO,AGUAZUL,Colombia,Colombia,FEMENINO,1,44381,6,1,0.000135192987990356
2021,2021,NO,NO,FEMINICIDIO ART. 104A C.P.,Cauca,ACTIVO,INDAGACION,ADULTEZ 29 - 59,SI,SI,NO,ARGELIA,Colombia,Colombia,FEMENINO,1,8036,8,1,0.000995520159283225
2021,2021,NO,NO,FEMINICIDIO ART. 104A C.P.,Cauca,ACTIVO,INDAGACION,JUVENTUD 18 - 28,SI,NO,NO,POPAYAN,Colombia,Colombia,FEMENINO,1,288636,41,1,0.000142047423051872
2021,2021,NO,NO,FEMINICIDIO ART. 104A C.P.,Cauca,ACTIVO,INDAGACION,JUVENTUD 18 - 28,SI,NO,NO,PUERTO TEJADA,Colombia,Venezuela,FEMENINO,1,46215,9,1,0.000194741966893866
2021,2021,NO,NO,FEMINICIDIO ART. 104A C.P.,Cauca,ACTIVO,INDAGACION,JUVENTUD 18 - 28,SI,NO,NO,SANTANDER DE QUILICHAO,Colombia,Colombia,FEMENINO,1,100681,24,1,0.000238376654979589
2021,2021,NO,NO,FEMINICIDIO ART. 104A C.P.,Cauca,ACTIVO,INDAGACION,JUVENTUD 18 - 28,SI,SI,NO,LOPEZ,Colombia,Colombia,FEMENINO,1,21019,3,1,0.000142728007992768
2021,2021,NO,NO,FEMINICIDIO ART. 104A C.P.,Cauca,ACTIVO,INDAGACION,JUVENTUD 18 - 28,SI,SI,NO,SUCRE,Colombia,Colombia,FEMENINO,1,8837,5,1,0.000565802874278602
2021,2021,NO,NO,FEMINICIDIO ART. 104A C.P.,Cauca,INACTIVO,INDAGACION,ADULTEZ 29 - 59,SI,SI,NO,GUAPI,Colombia,Colombia,FEMENINO,1,30042,5,1,0.000166433659543306
2021,2021,NO,NO,FEMINICIDIO ART. 104A C.P.,Cauca,INACTIVO,INDAGACION,INFANCIA 6 - 11,SI,SI,NO,GUAPI,Colombia,Colombia,FEMENINO,1,30042,5,1,0.000166433659543306
2021,2021,NO,NO,FEMINICIDIO ART. 104A C.P.,Cesar,ACTIVO,INDAGACION,ADOLESCENTE 14 - 17,SI,NO,NO,VALLEDUPAR,Colombia,Colombia,FEMENINO,1,503444,41,1,0.0000814390478384885
2021,2021,NO,NO,FEMINICIDIO ART. 104A C.P.,Cesar,ACTIVO,INDAGACION,ADULTEZ 29 - 59,SI,NO,NO,VALLEDUPAR,Colombia,Colombia,FEMENINO,1,503444,41,1,0.0000814390478384885
2021,2021,NO,NO,FEMINICIDIO ART. 104A C.P.,Cesar,ACTIVO,INDAGACION,ADULTEZ 29 - 59,SI,SI,NO,AGUACHICA,Colombia,Colombia,FEMENINO,1,97525,10,1,0.000102537810817739
2021,2021,NO,NO,FEMINICIDIO ART. 104A C.P.,Cesar,INACTIVO,INDAGACION,ADULTEZ 29 - 59,SI,SI,NO,SAN ALBERTO,Colombia,Colombia,FEMENINO,1,27025,5,1,0.000185013876040703
2021,2021,NO,NO,FEMINICIDIO ART. 104A C.P.,Cesar,INACTIVO,INDAGACION,INFANCIA 6 - 11,SI,SI,NO,SAN ALBERTO,Colombia,Colombia,FEMENINO,1,27025,5,1,0.000185013876040703
2021,2021,NO,NO,FEMINICIDIO ART. 104A C.P.,Cesar,INACTIVO,INDAGACION,JUVENTUD 18 - 28,SI,NO,NO,VALLEDUPAR,Colombia,Colombia,FEMENINO,2,503444,41,1,0.0000814390478384885
2021,2021,NO,NO,FEMINICIDIO ART. 104A C.P.,Cesar,INACTIVO,INDAGACION,JUVENTUD 18 - 28,SI,SI,NO,AGUACHICA,Colombia,Colombia,FEMENINO,1,97525,10,1,0.000102537810817739
2021,2021,NO,NO,FEMINICIDIO ART. 104A C.P.,COrdoba,ACTIVO,INDAGACION,ADULTEZ 29 - 59,SI,NO,NO,MONTERIA,Colombia,Colombia,FEMENINO,1,471867,23,1,0.000048742548218036
2021,2021,NO,NO,FEMINICIDIO ART. 104A C.P.,COrdoba,ACTIVO,INDAGACION,ADULTEZ 29 - 59,SI,SI,NO,SAHAGUN,Colombia,Colombia,FEMENINO,1,90494,5,1,0.0000552522819192433
2021,2021,NO,NO,FEMINICIDIO ART. 104A C.P.,COrdoba,ACTIVO,INDAGACION,JUVENTUD 18 - 28,SI,NO,NO,MONTERIA,Colombia,Colombia,FEMENINO,1,471867,23,1,0.000048742548218036
2021,2021,NO,NO,FEMINICIDIO ART. 104A C.P.,COrdoba,ACTIVO,INDAGACION,SIN DATO,SI,NO,NO,LORICA,Colombia,Colombia,FEMENINO,1,121793,3,1,0.0000246319575016627
2021,2021,NO,NO,FEMINICIDIO ART. 104A C.P.,COrdoba,ACTIVO,INDAGACION,SIN DATO,SI,SI,NO,MONTERIA,Colombia,Colombia,FEMENINO,1,471867,23,1,0.000048742548218036
2021,2021,NO,NO,FEMINICIDIO ART. 104A C.P.,Cundinamarca,ACTIVO,INDAGACION,ADULTEZ 29 - 59,SI,NO,NO,SOACHA,Colombia,Colombia,FEMENINO,1,567546,38,1,0.0000669549252395401
2021,2021,NO,NO,FEMINICIDIO ART. 104A C.P.,Cundinamarca,ACTIVO,INDAGACION,ADULTEZ 29 - 59,SI,NO,NO,SOACHA,Colombia,Venezuela,FEMENINO,1,567546,38,1,0.0000669549252395401
2021,2021,NO,NO,FEMINICIDIO ART. 104A C.P.,Cundinamarca,ACTIVO,INDAGACION,JUVENTUD 18 - 28,SI,NO,NO,SOACHA,Colombia,Colombia,FEMENINO,1,567546,38,1,0.0000669549252395401
2021,2021,NO,NO,FEMINICIDIO ART. 104A C.P.,Cundinamarca,ACTIVO,JUICIO,ADULTEZ 29 - 59,SI,NO,SI,VILLETA,Colombia,Colombia,FEMENINO,1,25741,2,1,0.0000776970591663106
2021,2021,NO,NO,FEMINICIDIO ART. 104A C.P.,Cundinamarca,ACTIVO,JUICIO,SIN DATO,SI,SI,SI,UBALA,Colombia,,FEMENINO,1,10071,1,1,0.0000992950054612253
2021,2021,NO,NO,FEMINICIDIO ART. 104A C.P.,Cundinamarca,INACTIVO,INDAGACION,SIN DATO,SI,SI,NO,PUERTO SALGAR,Colombia,Colombia,FEMENINO,1,20318,3,1,0.000147652327985038
2021,2021,NO,NO,FEMINICIDIO ART. 104A C.P.,Cundinamarca,INACTIVO,INVESTIGACION,ADULTO MAYOR DE 60,SI,SI,SI,COTA,Colombia,Colombia,FEMENINO,1,27496,2,1,0.000072737852778586
2021,2021,NO,NO,FEMINICIDIO ART. 104A C.P.,Guaviare,ACTIVO,INDAGACION,ADULTEZ 29 - 59,SI,SI,NO,SAN JOSE DEL GUAVIARE,Colombia,Colombia,FEMENINO,1,70019,10,1,0.000142818377868864
2021,2021,NO,NO,FEMINICIDIO ART. 104A C.P.,Huila,ACTIVO,INDAGACION,ADULTEZ 29 - 59,SI,NO,NO,TELLO,Colombia,Colombia,FEMENINO,1,14627,3,1,0.000205100157243454
2021,2021,NO,NO,FEMINICIDIO ART. 104A C.P.,Magdalena,ACTIVO,INDAGACION,ADOLESCENTE 14 - 17,SI,SI,NO,SITIONUEVO,Colombia,Colombia,FEMENINO,1,33440,3,1,0.0000897129186602871
2021,2021,NO,NO,FEMINICIDIO ART. 104A C.P.,Magdalena,ACTIVO,INDAGACION,ADULTEZ 29 - 59,SI,NO,NO,SANTA MARTA,Colombia,Colombia,FEMENINO,1,524031,75,1,0.000143121303892327
2021,2021,NO,NO,FEMINICIDIO ART. 104A C.P.,Magdalena,ACTIVO,INDAGACION,ADULTEZ 29 - 59,SI,SI,NO,SANTA MARTA,Colombia,Colombia,FEMENINO,1,524031,75,1,0.000143121303892327
2021,2021,NO,NO,FEMINICIDIO ART. 104A C.P.,Magdalena,ACTIVO,INDAGACION,JUVENTUD 18 - 28,SI,NO,NO,PLATO,Colombia,Colombia,FEMENINO,1,62904,11,1,0.000174869642630039
2021,2021,NO,NO,FEMINICIDIO ART. 104A C.P.,Magdalena,ACTIVO,INDAGACION,JUVENTUD 18 - 28,SI,NO,NO,SANTA MARTA,Colombia,Colombia,FEMENINO,1,524031,75,1,0.000143121303892327
2021,2021,NO,NO,FEMINICIDIO ART. 104A C.P.,Magdalena,ACTIVO,INDAGACION,JUVENTUD 18 - 28,SI,NO,NO,SANTA MARTA,Colombia,Venezuela,FEMENINO,1,524031,75,1,0.000143121303892327
2021,2021,NO,NO,FEMINICIDIO ART. 104A C.P.,Magdalena,ACTIVO,INVESTIGACION,ADULTEZ 29 - 59,NO,NO,NO,FUNDACION,Colombia,Colombia,MASCULINO,1,57677,24,1,0.000416110407961579
2021,2021,NO,NO,FEMINICIDIO ART. 104A C.P.,Magdalena,ACTIVO,INVESTIGACION,SIN DATO,NO,NO,NO,FUNDACION,Colombia,Colombia,FEMENINO,1,57677,24,1,0.000416110407961579
2021,2021,NO,NO,FEMINICIDIO ART. 104A C.P.,Magdalena,ACTIVO,INVESTIGACION,SIN DATO,NO,NO,NO,FUNDACION,Colombia,Colombia,MASCULINO,1,57677,24,1,0.000416110407961579
2021,2021,NO,NO,FEMINICIDIO ART. 104A C.P.,Magdalena,INACTIVO,INDAGACION,ADULTEZ 29 - 59,SI,NO,NO,GUAMAL,Colombia,Colombia,MASCULINO,1,28541,3,1,0.000105111944220595
2021,2021,NO,NO,FEMINICIDIO ART. 104A C.P.,Magdalena,INACTIVO,INDAGACION,ADULTEZ 29 - 59,SI,SI,NO,GUAMAL,Colombia,Colombia,FEMENINO,1,28541,3,1,0.000105111944220595
2021,2021,NO,NO,FEMINICIDIO ART. 104A C.P.,Meta,ACTIVO,INDAGACION,ADULTEZ 29 - 59,SI,NO,NO,VILLAVICENCIO,Colombia,Colombia,FEMENINO,1,538527,53,1,0.0000984166067810899
2021,2021,NO,NO,FEMINICIDIO ART. 104A C.P.,Meta,ACTIVO,INDAGACION,SIN DATO,SI,NO,NO,CUMARAL,Colombia,Colombia,FEMENINO,1,18619,4,1,0.000214834309039154
2021,2021,NO,NO,FEMINICIDIO ART. 104A C.P.,Meta,INACTIVO,INDAGACION,JUVENTUD 18 - 28,SI,SI,NO,LEJANIAS,Colombia,Colombia,FEMENINO,1,9229,8,1,0.000866832809621844
2021,2021,NO,NO,FEMINICIDIO ART. 104A C.P.,Meta,INACTIVO,INDAGACION,SIN DATO,SI,NO,NO,LEJANIAS,Colombia,,MASCULINO,1,9229,8,1,0.000866832809621844
2021,2021,NO,NO,FEMINICIDIO ART. 104A C.P.,NariNo,ACTIVO,INDAGACION,ADOLESCENTE 14 - 17,SI,SI,NO,OLAYA HERRERA,Colombia,Venezuela,FEMENINO,1,33132,10,1,0.000301823010986358
2021,2021,NO,NO,FEMINICIDIO ART. 104A C.P.,NariNo,ACTIVO,INDAGACION,ADULTEZ 29 - 59,SI,SI,NO,OLAYA HERRERA,Colombia,Colombia,MASCULINO,1,33132,10,1,0.000301823010986358
2021,2021,NO,NO,FEMINICIDIO ART. 104A C.P.,NariNo,ACTIVO,INDAGACION,ADULTEZ 29 - 59,SI,SI,NO,PASTO,Colombia,Colombia,FEMENINO,1,465148,30,1,0.0000644956013999845
2021,2021,NO,NO,FEMINICIDIO ART. 104A C.P.,NariNo,ACTIVO,INDAGACION,ADULTO MAYOR DE 60,SI,SI,NO,OLAYA HERRERA,Colombia,Colombia,MASCULINO,1,33132,10,1,0.000301823010986358
2021,2021,NO,NO,FEMINICIDIO ART. 104A C.P.,NariNo,ACTIVO,INDAGACION,JUVENTUD 18 - 28,SI,SI,NO,OLAYA HERRERA,Colombia,Colombia,FEMENINO,1,33132,10,1,0.000301823010986358
2021,2021,NO,NO,FEMINICIDIO ART. 104A C.P.,NariNo,ACTIVO,INDAGACION,JUVENTUD 18 - 28,SI,SI,NO,OLAYA HERRERA,Colombia,Colombia,MASCULINO,3,33132,10,1,0.000301823010986358
2021,2021,NO,NO,FEMINICIDIO ART. 104A C.P.,NariNo,ACTIVO,INDAGACION,PRE-ADOLESCENTE 12 - 13,SI,SI,NO,OLAYA HERRERA,Colombia,Colombia,FEMENINO,1,33132,10,1,0.000301823010986358
2021,2021,NO,NO,FEMINICIDIO ART. 104A C.P.,NariNo,ACTIVO,INDAGACION,SIN DATO,SI,NO,NO,OLAYA HERRERA,Colombia,Colombia,MASCULINO,1,33132,10,1,0.000301823010986358
2021,2021,NO,NO,FEMINICIDIO ART. 104A C.P.,NariNo,ACTIVO,INDAGACION,SIN DATO,SI,SI,NO,OLAYA HERRERA,Colombia,Colombia,MASCULINO,1,33132,10,1,0.000301823010986358
2021,2021,NO,NO,FEMINICIDIO ART. 104A C.P.,NariNo,INACTIVO,INDAGACION,ADULTEZ 29 - 59,SI,SI,NO,TUMACO,Colombia,Colombia,FEMENINO,1,221469,13,1,0.0000586989601253449
2021,2021,NO,NO,FEMINICIDIO ART. 104A C.P.,NariNo,INACTIVO,INDAGACION,JUVENTUD 18 - 28,SI,NO,NO,BARBACOAS,Colombia,Colombia,MASCULINO,1,42193,5,1,0.000118503069229493
2021,2021,NO,NO,FEMINICIDIO ART. 104A C.P.,NariNo,INACTIVO,INDAGACION,JUVENTUD 18 - 28,SI,SI,NO,BARBACOAS,Colombia,Colombia,FEMENINO,1,42193,5,1,0.000118503069229493
2021,2021,NO,NO,FEMINICIDIO ART. 104A C.P.,NariNo,INACTIVO,INDAGACION,SIN DATO,SI,NO,NO,EL TABLON DE GOMEZ,Colombia,Colombia,MASCULINO,1,12111,3,1,0.00024770869457518
2021,2021,NO,NO,FEMINICIDIO ART. 104A C.P.,Norte de Santander,ACTIVO,INDAGACION,ADULTEZ 29 - 59,SI,SI,NO,LOS PATIOS,Colombia,Colombia,FEMENINO,1,81122,6,1,0.0000739626735041049
2021,2021,NO,NO,FEMINICIDIO ART. 104A C.P.,Norte de Santander,ACTIVO,INDAGACION,ADULTEZ 29 - 59,SI,SI,NO,TIBU,Colombia,Colombia,FEMENINO,2,37455,12,1,0.000320384461353624
2021,2021,NO,NO,FEMINICIDIO ART. 104A C.P.,Norte de Santander,ACTIVO,INDAGACION,ADULTEZ 29 - 59,SI,SI,NO,TIBU,Colombia,Venezuela,FEMENINO,1,37455,12,1,0.000320384461353624
2021,2021,NO,NO,FEMINICIDIO ART. 104A C.P.,Norte de Santander,ACTIVO,INDAGACION,JUVENTUD 18 - 28,SI,NO,NO,TIBU,Colombia,Colombia,FEMENINO,2,37455,12,1,0.000320384461353624
2021,2021,NO,NO,FEMINICIDIO ART. 104A C.P.,Norte de Santander,ACTIVO,INDAGACION,JUVENTUD 18 - 28,SI,SI,NO,TIBU,Colombia,Colombia,FEMENINO,1,37455,12,1,0.000320384461353624
2021,2021,NO,NO,FEMINICIDIO ART. 104A C.P.,Norte de Santander,INACTIVO,INDAGACION,ADULTEZ 29 - 59,SI,NO,NO,PAMPLONA,Colombia,Colombia,FEMENINO,1,59334,1,1,0.0000168537432163684
2021,2021,NO,NO,FEMINICIDIO ART. 104A C.P.,Norte de Santander,INACTIVO,INDAGACION,ADULTEZ 29 - 59,SI,NO,NO,TIBU,Colombia,Colombia,MASCULINO,1,37455,12,1,0.000320384461353624
2021,2021,NO,NO,FEMINICIDIO ART. 104A C.P.,Norte de Santander,INACTIVO,INDAGACION,ADULTEZ 29 - 59,SI,SI,NO,TIBU,Colombia,Colombia,FEMENINO,1,37455,12,1,0.000320384461353624
2021,2021,NO,NO,FEMINICIDIO ART. 104A C.P.,Putumayo,ACTIVO,INDAGACION,ADULTEZ 29 - 59,SI,SI,NO,LEGUIZAMO,Colombia,Colombia,FEMENINO,1,15367,2,1,0.00013014902062862
2021,2021,NO,NO,FEMINICIDIO ART. 104A C.P.,Putumayo,ACTIVO,INDAGACION,ADULTEZ 29 - 59,SI,SI,NO,SAN MIGUEL,Colombia,Colombia,FEMENINO,1,2235,3,1,0.00134228187919463
2021,2021,NO,NO,FEMINICIDIO ART. 104A C.P.,Putumayo,ACTIVO,JUICIO,JUVENTUD 18 - 28,SI,NO,SI,PUERTO ASIS,Colombia,Colombia,FEMENINO,1,63953,16,1,0.000250183728675746
2021,2021,NO,NO,FEMINICIDIO ART. 104A C.P.,Putumayo,INACTIVO,INDAGACION,ADULTEZ 29 - 59,SI,SI,NO,SAN MIGUEL,Colombia,Colombia,FEMENINO,1,2235,3,1,0.00134228187919463
2021,2021,NO,NO,FEMINICIDIO ART. 104A C.P.,QuindIo,ACTIVO,INDAGACION,JUVENTUD 18 - 28,SI,NO,NO,ARMENIA,Colombia,,FEMENINO,1,3765,30,1,0.00796812749003984
2021,2021,NO,NO,FEMINICIDIO ART. 104A C.P.,QuindIo,ACTIVO,INVESTIGACION,JUVENTUD 18 - 28,SI,NO,SI,ARMENIA,Colombia,Colombia,FEMENINO,1,3765,30,1,0.00796812749003984
2021,2021,NO,NO,FEMINICIDIO ART. 104A C.P.,Risaralda,ACTIVO,INDAGACION,ADULTEZ 29 - 59,SI,SI,NO,PEREIRA,Colombia,Colombia,FEMENINO,2,481129,35,1,0.0000727455630402657
2021,2021,NO,NO,FEMINICIDIO ART. 104A C.P.,Risaralda,INACTIVO,INDAGACION,JUVENTUD 18 - 28,SI,SI,NO,PEREIRA,Colombia,Colombia,FEMENINO,1,481129,35,1,0.0000727455630402657
2021,2021,NO,NO,FEMINICIDIO ART. 104A C.P.,Santander,ACTIVO,INDAGACION,ADULTEZ 29 - 59,SI,NO,NO,BUCARAMANGA,Colombia,Colombia,FEMENINO,1,528572,70,1,0.00013243228926239
2021,2021,NO,NO,FEMINICIDIO ART. 104A C.P.,Santander,ACTIVO,INDAGACION,ADULTEZ 29 - 59,SI,NO,NO,FLORIDABLANCA,Colombia,,FEMENINO,1,267936,20,1,0.0000746446912695569
2021,2021,NO,NO,FEMINICIDIO ART. 104A C.P.,Santander,ACTIVO,INDAGACION,ADULTEZ 29 - 59,SI,NO,NO,FLORIDABLANCA,Colombia,Venezuela,FEMENINO,2,267936,20,1,0.0000746446912695569
2021,2021,NO,NO,FEMINICIDIO ART. 104A C.P.,Santander,ACTIVO,INDAGACION,INFANCIA 6 - 11,SI,NO,NO,BUCARAMANGA,Colombia,Colombia,MASCULINO,1,528572,70,1,0.00013243228926239
2021,2021,NO,NO,FEMINICIDIO ART. 104A C.P.,Santander,ACTIVO,INDAGACION,JUVENTUD 18 - 28,SI,SI,NO,BUCARAMANGA,Colombia,Colombia,FEMENINO,1,528572,70,1,0.00013243228926239
2021,2021,NO,NO,FEMINICIDIO ART. 104A C.P.,Santander,ACTIVO,JUICIO,ADOLESCENTE 14 - 17,SI,NO,SI,BUCARAMANGA,Colombia,Colombia,FEMENINO,1,528572,70,1,0.00013243228926239
2021,2021,NO,NO,FEMINICIDIO ART. 104A C.P.,Santander,INACTIVO,INDAGACION,JUVENTUD 18 - 28,SI,SI,NO,EL CARMEN DE CHUCURI,Colombia,Colombia,FEMENINO,1,21050,7,1,0.000332541567695962
2021,2021,NO,NO,FEMINICIDIO ART. 104A C.P.,Sucre,ACTIVO,INDAGACION,ADULTEZ 29 - 59,SI,NO,NO,SINCELEJO,Colombia,Colombia,FEMENINO,1,294599,12,1,0.0000407333358225927
2021,2021,NO,NO,FEMINICIDIO ART. 104A C.P.,Sucre,ACTIVO,INDAGACION,ADULTEZ 29 - 59,SI,SI,NO,TOLU VIEJO,Colombia,Colombia,FEMENINO,1,18892,1,1,0.000052932458183358
2021,2021,NO,NO,FEMINICIDIO ART. 104A C.P.,Sucre,INACTIVO,INDAGACION,JUVENTUD 18 - 28,SI,SI,NO,SAMPUES,Colombia,Colombia,FEMENINO,1,38631,3,1,0.0000776578395589035
2021,2021,NO,NO,FEMINICIDIO ART. 104A C.P.,Tolima,ACTIVO,INDAGACION,ADULTEZ 29 - 59,SI,NO,NO,IBAGUE,Colombia,Colombia,FEMENINO,1,579803,120,1,0.000206966849084948
2021,2021,NO,NO,FEMINICIDIO ART. 104A C.P.,Tolima,ACTIVO,INDAGACION,INFANCIA 6 - 11,SI,SI,NO,SAN LUIS,Colombia,Colombia,MASCULINO,1,10908,5,1,0.000458379171250458
2021,2021,NO,NO,FEMINICIDIO ART. 104A C.P.,Tolima,ACTIVO,INDAGACION,JUVENTUD 18 - 28,SI,NO,NO,IBAGUE,Colombia,Colombia,FEMENINO,1,579803,120,1,0.000206966849084948
